Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	11/481	7.620893e-11	9.749546e-09	0	0	2.281798e+01	5.316028e+02	PLAC8;LCN2;HP;CHI3L1;PRTN3;CTSG;PGLYRP1;MPO;CAMP;LTF;CD177
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	11/485	8.324561e-11	9.749546e-09	0	0	2.262078e+01	5.250108e+02	PLAC8;LCN2;HP;CHI3L1;PRTN3;CTSG;PGLYRP1;MPO;CAMP;LTF;CD177
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	11/488	8.890163e-11	9.749546e-09	0	0	2.247505e+01	5.201512e+02	PLAC8;LCN2;HP;CHI3L1;PRTN3;CTSG;PGLYRP1;MPO;CAMP;LTF;CD177
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	6/176	2.615174e-07	2.150981e-05	0	0	2.795153e+01	4.236548e+02	LCN2;CTSG;PGLYRP1;MPO;CAMP;LTF
GO_Biological_Process_2021	neutrophil extravasation (GO:0072672)	2/6	3.474033e-05	2.283712e-03	0	0	3.442241e+02	3.534359e+03	PRTN3;CD177
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	3/44	4.277168e-05	2.283712e-03	0	0	5.207666e+01	5.238721e+02	CTSG;CAMP;LTF
GO_Biological_Process_2021	iron coordination entity transport (GO:1901678)	2/7	4.858962e-05	2.283712e-03	0	0	2.753655e+02	2.734958e+03	LCN2;LTF
GO_Biological_Process_2021	innate immune response (GO:0045087)	5/302	9.349367e-05	3.844927e-03	0	0	1.273763e+01	1.181749e+02	IFITM1;LCN2;PGLYRP1;CAMP;LTF
GO_Biological_Process_2021	cell-cell junction maintenance (GO:0045217)	2/11	1.267685e-04	4.334971e-03	0	0	1.529502e+02	1.372445e+03	PRTN3;CD177
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	3/64	1.317620e-04	4.334971e-03	0	0	3.496721e+01	3.124150e+02	PGLYRP1;CAMP;LTF
