Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	glucose transmembrane transport (GO:1904659)	2/20	1.042469e-03	1.638826e-01	0	0	4.814976e+01	3.306041e+02	SLC2A1;PPBP
GO_Biological_Process_2021	hexose transmembrane transport (GO:0008645)	2/23	1.381775e-03	1.638826e-01	0	0	4.126501e+01	2.717048e+02	SLC2A1;PPBP
GO_Biological_Process_2021	negative regulation of cytoskeleton organization (GO:0051494)	2/30	2.350495e-03	1.638826e-01	0	0	3.093789e+01	1.872710e+02	TWF2;CORO1A
GO_Biological_Process_2021	regulation of cytoskeleton organization (GO:0051493)	3/112	2.461544e-03	1.638826e-01	0	0	1.213639e+01	7.290290e+01	TWF2;CORO1A;S100A8
GO_Biological_Process_2021	secondary alcohol biosynthetic process (GO:1902653)	2/34	3.012867e-03	1.638826e-01	0	0	2.706522e+01	1.571099e+02	FDPS;SQLE
GO_Biological_Process_2021	cholesterol biosynthetic process (GO:0006695)	2/35	3.190590e-03	1.638826e-01	0	0	2.624374e+01	1.508372e+02	FDPS;SQLE
GO_Biological_Process_2021	sterol biosynthetic process (GO:0016126)	2/38	3.752501e-03	1.638826e-01	0	0	2.405314e+01	1.343448e+02	FDPS;SQLE
GO_Biological_Process_2021	positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	2/40	4.150830e-03	1.638826e-01	0	0	2.278490e+01	1.249626e+02	BID;S100A8
GO_Biological_Process_2021	regulation of intrinsic apoptotic signaling pathway (GO:2001242)	2/52	6.928535e-03	1.638826e-01	0	0	1.730609e+01	8.604771e+01	BID;S100A8
GO_Biological_Process_2021	regulation of potassium ion transmembrane transport (GO:1901379)	2/54	7.454444e-03	1.638826e-01	0	0	1.663880e+01	8.151255e+01	BIN1;KCNAB2
GO_Biological_Process_2021	dicarboxylic acid metabolic process (GO:0043648)	2/57	8.276102e-03	1.638826e-01	0	0	1.572885e+01	7.541015e+01	GCLM;FOLR2
GO_Biological_Process_2021	positive regulation of apoptotic signaling pathway (GO:2001235)	2/59	8.845486e-03	1.638826e-01	0	0	1.517544e+01	7.174717e+01	BID;S100A8
GO_Biological_Process_2021	glucose import across plasma membrane (GO:0098708)	1/5	1.194361e-02	1.638826e-01	0	0	1.061064e+02	4.697922e+02	SLC2A1
GO_Biological_Process_2021	disaccharide biosynthetic process (GO:0046351)	1/5	1.194361e-02	1.638826e-01	0	0	1.061064e+02	4.697922e+02	SLC2A1
GO_Biological_Process_2021	peptidyl-cysteine S-nitrosylation (GO:0018119)	1/5	1.194361e-02	1.638826e-01	0	0	1.061064e+02	4.697922e+02	S100A8
GO_Biological_Process_2021	establishment of protein localization to membrane (GO:0090150)	2/70	1.227805e-02	1.638826e-01	0	0	1.271355e+01	5.593890e+01	BID;YIF1B
GO_Biological_Process_2021	neutrophil chemotaxis (GO:0030593)	2/70	1.227805e-02	1.638826e-01	0	0	1.271355e+01	5.593890e+01	PPBP;S100A8
GO_Biological_Process_2021	negative regulation of supramolecular fiber organization (GO:1902904)	2/72	1.295552e-02	1.638826e-01	0	0	1.234907e+01	5.367194e+01	TWF2;CORO1A
GO_Biological_Process_2021	regulation of actin filament polymerization (GO:0030833)	2/73	1.330026e-02	1.638826e-01	0	0	1.217453e+01	5.259361e+01	BIN1;TWF2
GO_Biological_Process_2021	regulation of actin filament-based process (GO:0032970)	2/73	1.330026e-02	1.638826e-01	0	0	1.217453e+01	5.259361e+01	TWF2;CORO1A
GO_Biological_Process_2021	granulocyte chemotaxis (GO:0071621)	2/73	1.330026e-02	1.638826e-01	0	0	1.217453e+01	5.259361e+01	PPBP;S100A8
GO_Biological_Process_2021	pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	1/6	1.431553e-02	1.638826e-01	0	0	8.488085e+01	3.604389e+02	SLC35C2
GO_Biological_Process_2021	hexose import across plasma membrane (GO:0140271)	1/6	1.431553e-02	1.638826e-01	0	0	8.488085e+01	3.604389e+02	SLC2A1
GO_Biological_Process_2021	T-tubule organization (GO:0033292)	1/6	1.431553e-02	1.638826e-01	0	0	8.488085e+01	3.604389e+02	BIN1
GO_Biological_Process_2021	water-soluble vitamin metabolic process (GO:0006767)	2/76	1.435830e-02	1.638826e-01	0	0	1.167920e+01	4.955984e+01	SLC2A1;FOLR2
