Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	9/65	7.487928e-14	1.153141e-11	0	0	7.434718e+01	2.246987e+03	SP100;OAS2;MX2;OAS3;IRF7;GBP2;IRF9;IFIT3;IFIT2
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	9/65	7.487928e-14	1.153141e-11	0	0	7.434718e+01	2.246987e+03	SP100;OAS2;MX2;OAS3;IRF7;GBP2;IRF9;IFIT3;IFIT2
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	8/121	8.555333e-10	8.013054e-08	0	0	3.191472e+01	6.663569e+02	GBP6;SP100;OAS2;OAS3;IRF7;GBP2;IRF9;GBP3
GO_Biological_Process_2021	defense response to symbiont (GO:0140546)	8/124	1.040656e-09	8.013054e-08	0	0	3.108464e+01	6.429365e+02	RTP4;OAS2;DDX58;MX2;OAS3;IRF7;IFIT3;IFIT2
GO_Biological_Process_2021	defense response to virus (GO:0051607)	8/133	1.819641e-09	1.120899e-07	0	0	2.883345e+01	5.802625e+02	RTP4;OAS2;DDX58;MX2;OAS3;IRF7;IFIT3;IFIT2
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	6/68	2.219388e-08	1.139286e-06	0	0	4.183590e+01	7.372929e+02	SP100;OAS2;OAS3;IRF7;GBP2;IRF9
GO_Biological_Process_2021	cytoplasmic pattern recognition receptor signaling pathway in response to virus (GO:0039528)	3/10	1.963692e-06	8.640243e-05	0	0	1.744111e+02	2.291881e+03	DDX58;OAS3;IRF7
GO_Biological_Process_2021	positive regulation of interferon-beta production (GO:0032728)	4/36	2.249928e-06	8.662224e-05	0	0	5.186458e+01	6.744788e+02	DDX58;OAS2;OAS3;IRF7
GO_Biological_Process_2021	regulation of interferon-beta production (GO:0032648)	4/49	7.893476e-06	2.701323e-04	0	0	3.685741e+01	4.330551e+02	DDX58;OAS2;OAS3;IRF7
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	9/621	2.824120e-05	8.698289e-04	0	0	6.612859e+00	6.926791e+01	SP100;OAS2;MX2;OAS3;IRF7;GBP2;IRF9;IFIT3;IFIT2
GO_Biological_Process_2021	positive regulation of type I interferon production (GO:0032481)	4/77	4.778156e-05	1.337884e-03	0	0	2.268836e+01	2.257235e+02	OAS2;DDX58;OAS3;IRF7
GO_Biological_Process_2021	response to interferon-gamma (GO:0034341)	4/80	5.552251e-05	1.425078e-03	0	0	2.178947e+01	2.135090e+02	GBP6;SP100;GBP2;GBP3
GO_Biological_Process_2021	regulation of ribonuclease activity (GO:0060700)	2/5	6.596945e-05	1.562968e-03	0	0	2.659333e+02	2.559959e+03	OAS2;OAS3
GO_Biological_Process_2021	regulation of nuclease activity (GO:0032069)	2/6	9.878967e-05	2.173373e-03	0	0	1.994400e+02	1.839339e+03	OAS2;OAS3
