Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	secondary alcohol biosynthetic process (GO:1902653)	4/34	6.971208e-06	2.392364e-03	0	0	3.844831e+01	4.565245e+02	DHCR7;HSD17B7;LBR;ACAT2
GO_Biological_Process_2021	cholesterol biosynthetic process (GO:0006695)	4/35	7.849050e-06	2.392364e-03	0	0	3.720617e+01	4.373629e+02	DHCR7;HSD17B7;LBR;ACAT2
GO_Biological_Process_2021	sterol biosynthetic process (GO:0016126)	4/38	1.097415e-05	2.392364e-03	0	0	3.391816e+01	3.873443e+02	DHCR7;HSD17B7;LBR;ACAT2
GO_Biological_Process_2021	cholesterol metabolic process (GO:0008203)	4/77	1.807138e-04	2.954670e-02	0	0	1.576653e+01	1.358853e+02	DHCR7;HSD17B7;LBR;ACAT2
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition (GO:0010718)	3/42	4.835131e-04	6.324352e-02	0	0	2.185495e+01	1.668501e+02	OLFM1;TIAM1;DAB2
GO_Biological_Process_2021	nonribosomal peptide biosynthetic process (GO:0019184)	2/12	8.469757e-04	8.472120e-02	0	0	5.610423e+01	3.968722e+02	BDH2;CHAC1
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	3/52	9.068018e-04	8.472120e-02	0	0	1.738601e+01	1.217992e+02	BDH2;AUH;ACAT2
GO_Biological_Process_2021	immune response-regulating cell surface receptor signaling pathway (GO:0002768)	2/14	1.162296e-03	8.750174e-02	0	0	4.674883e+01	3.158986e+02	CD40;FPR2
GO_Biological_Process_2021	fatty acid oxidation (GO:0019395)	3/59	1.309757e-03	8.750174e-02	0	0	1.520740e+01	1.009454e+02	BDH2;AUH;ACAT2
GO_Biological_Process_2021	establishment of spindle localization (GO:0051293)	2/15	1.337947e-03	8.750174e-02	0	0	4.315060e+01	2.855110e+02	ESPL1;CFL1
GO_Biological_Process_2021	receptor-mediated endocytosis (GO:0006898)	4/143	1.861206e-03	1.106572e-01	0	0	8.252737e+00	5.188108e+01	MARCO;DAB2;FPR2;ADRB2
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	3/70	2.143096e-03	1.167987e-01	0	0	1.270362e+01	7.807017e+01	BDH2;AUH;ACAT2
GO_Biological_Process_2021	cellular modified amino acid biosynthetic process (GO:0042398)	2/20	2.392650e-03	1.173275e-01	0	0	3.115649e+01	1.880405e+02	GAMT;CHAC1
GO_Biological_Process_2021	negative regulation of protein binding (GO:0032091)	3/74	2.511598e-03	1.173275e-01	0	0	1.198551e+01	7.175530e+01	DAB2;SLPI;ADRB2
GO_Biological_Process_2021	regulation of epithelial to mesenchymal transition (GO:0010717)	3/76	2.709626e-03	1.178484e-01	0	0	1.165597e+01	6.889779e+01	OLFM1;TIAM1;DAB2
GO_Biological_Process_2021	regulation of protein phosphorylation (GO:0001932)	5/266	2.883140e-03	1.178484e-01	0	0	5.540343e+00	3.240477e+01	MARCO;DAB2;CD40;ANKRD54;FPR2
GO_Biological_Process_2021	vascular transport (GO:0010232)	3/84	3.596992e-03	1.322915e-01	0	0	1.050053e+01	5.909338e+01	SLC24A3;SLC7A8;SLC2A3
GO_Biological_Process_2021	response to interleukin-1 (GO:0070555)	3/86	3.843332e-03	1.322915e-01	0	0	1.024647e+01	5.698489e+01	UPF1;CD40;RBMX
GO_Biological_Process_2021	transport across blood-brain barrier (GO:0150104)	3/86	3.843332e-03	1.322915e-01	0	0	1.024647e+01	5.698489e+01	SLC24A3;SLC7A8;SLC2A3
GO_Biological_Process_2021	steroid hormone biosynthetic process (GO:0120178)	2/31	5.705948e-03	1.865845e-01	0	0	1.932783e+01	9.985232e+01	DHCR7;HSD17B7
GO_Biological_Process_2021	cellular response to amyloid-beta (GO:1904646)	2/35	7.232836e-03	2.136377e-01	0	0	1.698165e+01	8.370465e+01	ADRB2;FPR2
GO_Biological_Process_2021	positive regulation of protein modification process (GO:0031401)	4/214	7.802144e-03	2.136377e-01	0	0	5.442926e+00	2.641646e+01	MARCO;DAB2;CD40;FPR2
GO_Biological_Process_2021	phagocytosis, engulfment (GO:0006911)	2/37	8.057974e-03	2.136377e-01	0	0	1.600966e+01	7.718405e+01	MARCO;RHOBTB1
GO_Biological_Process_2021	positive regulation of multicellular organismal process (GO:0051240)	5/345	8.557926e-03	2.136377e-01	0	0	4.235943e+00	2.016689e+01	OLFM1;TIAM1;DAB2;CFL1;ADRB2
GO_Biological_Process_2021	regulation of protein binding (GO:0043393)	3/118	9.226077e-03	2.136377e-01	0	0	7.383354e+00	3.459634e+01	TIAM1;DAB2;SLPI
GO_Biological_Process_2021	carboxylic acid metabolic process (GO:0019752)	2/40	9.371050e-03	2.136377e-01	0	0	1.474351e+01	6.885413e+01	GRHPR;SLC2A3
GO_Biological_Process_2021	response to amyloid-beta (GO:1904645)	2/44	1.125930e-02	2.136377e-01	0	0	1.333669e+01	5.983586e+01	ADRB2;FPR2
GO_Biological_Process_2021	alpha-amino acid metabolic process (GO:1901605)	2/46	1.226099e-02	2.136377e-01	0	0	1.272919e+01	5.602542e+01	ASNS;ALDH18A1
GO_Biological_Process_2021	substrate adhesion-dependent cell spreading (GO:0034446)	2/48	1.330026e-02	2.136377e-01	0	0	1.217453e+01	5.259361e+01	PARVG;MICALL2
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	4/253	1.377281e-02	2.136377e-01	0	0	4.581340e+00	1.963131e+01	MARCO;DAB2;CD40;FPR2
GO_Biological_Process_2021	mitotic cytokinesis (GO:0000281)	2/49	1.383381e-02	2.136377e-01	0	0	1.191489e+01	5.100337e+01	ESPL1;KIF23
GO_Biological_Process_2021	actin polymerization or depolymerization (GO:0008154)	2/50	1.437653e-02	2.136377e-01	0	0	1.166608e+01	4.948935e+01	CFL1;MICALL2
GO_Biological_Process_2021	organic hydroxy compound biosynthetic process (GO:1901617)	2/50	1.437653e-02	2.136377e-01	0	0	1.166608e+01	4.948935e+01	DHCR7;LBR
GO_Biological_Process_2021	positive regulation of cytosolic calcium ion concentration (GO:0007204)	3/147	1.663559e-02	2.136377e-01	0	0	5.887798e+00	2.411766e+01	CYSLTR1;ITPR3;FPR2
GO_Biological_Process_2021	regulation of cytosolic calcium ion concentration (GO:0051480)	3/148	1.693613e-02	2.136377e-01	0	0	5.846897e+00	2.384543e+01	CYSLTR1;ITPR3;FPR2
GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	4/274	1.793451e-02	2.136377e-01	0	0	4.220505e+00	1.697077e+01	MARCO;CD40;FPR2;ADRB2
GO_Biological_Process_2021	protein localization to site of double-strand break (GO:1990166)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	PARP3
GO_Biological_Process_2021	positive regulation of AMPA receptor activity (GO:2000969)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	ADRB2
GO_Biological_Process_2021	positive regulation of cAMP-dependent protein kinase activity (GO:2000481)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	ADRB2
GO_Biological_Process_2021	positive regulation of DNA ligation (GO:0051106)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	PARP3
GO_Biological_Process_2021	glucose import across plasma membrane (GO:0098708)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	SLC2A3
GO_Biological_Process_2021	negative regulation of immunoglobulin production (GO:0002638)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	PARP3
GO_Biological_Process_2021	negative regulation of smooth muscle contraction (GO:0045986)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	ADRB2
GO_Biological_Process_2021	regulation of heart growth (GO:0060420)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	DUSP6
GO_Biological_Process_2021	proline biosynthetic process (GO:0006561)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	ALDH18A1
GO_Biological_Process_2021	proline transmembrane transport (GO:0035524)	1/5	1.811892e-02	2.136377e-01	0	0	6.917708e+01	2.774554e+02	SLC7A8
GO_Biological_Process_2021	negative regulation of DNA recombination (GO:0045910)	2/57	1.842656e-02	2.136377e-01	0	0	1.017772e+01	4.064943e+01	ZRANB3;PARP3
GO_Biological_Process_2021	cellular response to peptide (GO:1901653)	2/57	1.842656e-02	2.136377e-01	0	0	1.017772e+01	4.064943e+01	ADRB2;FPR2
GO_Biological_Process_2021	cellular response to interleukin-1 (GO:0071347)	3/155	1.912524e-02	2.136377e-01	0	0	5.575658e+00	2.206146e+01	UPF1;CD40;RBMX
GO_Biological_Process_2021	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	2/60	2.029286e-02	2.136377e-01	0	0	9.649830e+00	3.761008e+01	MARCO;FPR2
