Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	modulation by host of viral process (GO:0044788)	1/12	3.594998e-03	4.718895e-02	0	0	3.633273e+02	2.044883e+03	IFI27
GO_Biological_Process_2021	regulation of nucleocytoplasmic transport (GO:0046822)	1/13	3.894096e-03	4.718895e-02	0	0	3.330333e+02	1.847767e+03	IFI27
GO_Biological_Process_2021	chondroitin sulfate catabolic process (GO:0030207)	1/13	3.894096e-03	4.718895e-02	0	0	3.330333e+02	1.847767e+03	ARSB
GO_Biological_Process_2021	modulation by host of viral genome replication (GO:0044827)	1/15	4.492068e-03	4.718895e-02	0	0	2.854286e+02	1.542868e+03	IFI27
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	1/20	5.985691e-03	4.718895e-02	0	0	2.102632e+02	1.076207e+03	CDKN1C
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	1/22	6.582617e-03	4.718895e-02	0	0	1.902190e+02	9.555317e+02	CDKN1C
GO_Biological_Process_2021	negative regulation of phosphate metabolic process (GO:0045936)	1/22	6.582617e-03	4.718895e-02	0	0	1.902190e+02	9.555317e+02	CDKN1C
GO_Biological_Process_2021	regulation of protein export from nucleus (GO:0046825)	1/23	6.880968e-03	4.718895e-02	0	0	1.815636e+02	9.040046e+02	IFI27
GO_Biological_Process_2021	positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	1/24	7.179245e-03	4.718895e-02	0	0	1.736609e+02	8.572875e+02	CDKN1C
GO_Biological_Process_2021	positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	1/24	7.179245e-03	4.718895e-02	0	0	1.736609e+02	8.572875e+02	CDKN1C
GO_Biological_Process_2021	negative regulation of transferase activity (GO:0051348)	1/29	8.669509e-03	4.718895e-02	0	0	1.426143e+02	6.771245e+02	CDKN1C
GO_Biological_Process_2021	chondroitin sulfate metabolic process (GO:0030204)	1/30	8.967338e-03	4.718895e-02	0	0	1.376897e+02	6.490920e+02	ARSB
GO_Biological_Process_2021	regulation of intracellular protein transport (GO:0033157)	1/32	9.562772e-03	4.718895e-02	0	0	1.287935e+02	5.988742e+02	IFI27
GO_Biological_Process_2021	lytic vacuole organization (GO:0080171)	1/33	9.860378e-03	4.718895e-02	0	0	1.247625e+02	5.763068e+02	ARSB
GO_Biological_Process_2021	lysosome organization (GO:0007040)	1/38	1.134729e-02	5.000516e-02	0	0	1.078757e+02	4.831510e+02	ARSB
GO_Biological_Process_2021	sulfur compound catabolic process (GO:0044273)	1/40	1.194153e-02	5.000516e-02	0	0	1.023333e+02	4.531047e+02	ARSB
GO_Biological_Process_2021	negative regulation of mitotic cell cycle (GO:0045930)	1/48	1.431553e-02	5.184325e-02	0	0	8.488085e+01	3.604389e+02	CDKN1C
GO_Biological_Process_2021	regulation of epithelial cell migration (GO:0010632)	1/51	1.520455e-02	5.184325e-02	0	0	7.977600e+01	3.339551e+02	ARSB
GO_Biological_Process_2021	regulation of cyclin-dependent protein kinase activity (GO:1904029)	1/54	1.609291e-02	5.184325e-02	0	0	7.524906e+01	3.107317e+02	CDKN1C
GO_Biological_Process_2021	glycosaminoglycan catabolic process (GO:0006027)	1/56	1.668477e-02	5.184325e-02	0	0	7.250545e+01	2.967836e+02	ARSB
GO_Biological_Process_2021	protein K48-linked ubiquitination (GO:0070936)	1/57	1.698059e-02	5.184325e-02	0	0	7.120714e+01	2.902178e+02	IFI27
GO_Biological_Process_2021	negative regulation of kinase activity (GO:0033673)	1/62	1.845859e-02	5.184325e-02	0	0	6.535410e+01	2.609083e+02	CDKN1C
GO_Biological_Process_2021	amyloid fibril formation (GO:1990000)	1/63	1.875397e-02	5.184325e-02	0	0	6.429677e+01	2.556665e+02	MFGE8
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	1/65	1.934450e-02	5.184325e-02	0	0	6.228125e+01	2.457212e+02	IFI27
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	1/65	1.934450e-02	5.184325e-02	0	0	6.228125e+01	2.457212e+02	IFI27
GO_Biological_Process_2021	negative regulation of epithelial cell proliferation (GO:0050680)	1/72	2.140903e-02	5.187658e-02	0	0	5.612113e+01	2.157264e+02	CDKN1C
GO_Biological_Process_2021	extrinsic apoptotic signaling pathway (GO:0097191)	1/72	2.140903e-02	5.187658e-02	0	0	5.612113e+01	2.157264e+02	IFI27
GO_Biological_Process_2021	negative regulation of protein serine/threonine kinase activity (GO:0071901)	1/78	2.317574e-02	5.187658e-02	0	0	5.173247e+01	1.947546e+02	CDKN1C
GO_Biological_Process_2021	negative regulation of cell cycle (GO:0045786)	1/80	2.376405e-02	5.187658e-02	0	0	5.041772e+01	1.885412e+02	CDKN1C
GO_Biological_Process_2021	regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	1/82	2.435207e-02	5.187658e-02	0	0	4.916790e+01	1.826656e+02	CDKN1C
GO_Biological_Process_2021	negative regulation of phosphorylation (GO:0042326)	1/86	2.552722e-02	5.187658e-02	0	0	4.684471e+01	1.718268e+02	CDKN1C
GO_Biological_Process_2021	positive regulation of neuron projection development (GO:0010976)	1/88	2.611435e-02	5.187658e-02	0	0	4.576322e+01	1.668193e+02	ARSB
