Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	22/192	2.210350e-14	1.471370e-11	0	0	1.008329e+01	3.170493e+02	POP5;DDX27;WDR18;GTF3A;NOC4L;RRP1B;WDR46;WDR43;RRP9;RCL1;EXOSC6;BOP1;EMG1;EXOSC5;MRTO4;EXOSC8;HEATR3;RPL38;RRP12;LYAR;EXOSC2;RAN
GO_Biological_Process_2021	rRNA processing (GO:0006364)	21/173	2.752797e-14	1.471370e-11	0	0	1.073191e+01	3.350885e+02	POP5;DDX27;WDR18;NOC4L;RRP1B;WDR46;WDR43;RRP9;RCL1;EXOSC6;BOP1;EMG1;EXOSC5;LSM6;MRTO4;EXOSC8;RPL38;RRP12;LYAR;EXOSC2;RRP15
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	19/162	9.037439e-13	3.220341e-10	0	0	1.024437e+01	2.840992e+02	POP5;DDX27;WDR18;NOC4L;RRP1B;WDR46;WDR43;RRP9;RCL1;EXOSC6;BOP1;EMG1;EXOSC5;MRTO4;EXOSC8;RPL38;RRP12;LYAR;EXOSC2
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	19/201	4.220401e-11	1.127902e-08	0	0	8.033118e+00	1.918992e+02	POP5;DDX27;WDR18;NOC4L;RRP1B;WDR46;WDR43;RRP9;RCL1;EXOSC6;BOP1;EXOSC5;EMG1;EXOSC8;MRTO4;RPL38;RRP12;LYAR;EXOSC2
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	15/128	2.414158e-10	5.161471e-08	0	0	1.009158e+01	2.234731e+02	CENPT;NUDC;NUP107;NUP133;NDE1;RANGAP1;TUBG1;NUP160;ZWINT;NUP85;CENPL;RCC1;KPNB1;MAD1L1;RAN
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	15/157	4.271548e-09	7.610476e-07	0	0	8.018752e+00	1.545317e+02	CENPT;NUDC;NUP107;NUP133;NDE1;RANGAP1;TUBG1;NUP160;ZWINT;NUP85;CENPL;RCC1;KPNB1;MAD1L1;RAN
GO_Biological_Process_2021	purine nucleoside monophosphate biosynthetic process (GO:0009127)	6/12	5.280928e-09	8.064731e-07	0	0	7.386142e+01	1.407737e+03	ADSL;ATIC;IMPDH1;PPAT;GART;PFAS
GO_Biological_Process_2021	import into nucleus (GO:0051170)	11/77	7.547963e-09	1.008597e-06	0	0	1.250700e+01	2.339057e+02	NUP107;NXT1;NUP133;NUP85;CSE1L;GEMIN4;HEATR3;NUTF2;GEMIN6;KPNB1;RAN
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	19/277	9.478663e-09	1.125855e-06	0	0	5.644738e+00	1.042822e+02	PRIM2;XRCC6;BLM;RFC3;RTEL1;RFC4;FANCL;NUDT1;DDX21;CDC7;GTF2H3;MSH6;POLA2;DBF4;RPA3;APEX1;POLE3;MCM3;RAN
GO_Biological_Process_2021	ribonucleoside monophosphate biosynthetic process (GO:0009156)	6/14	1.677320e-08	1.793055e-06	0	0	5.539045e+01	9.916820e+02	ADSL;ATIC;IMPDH1;PPAT;PFAS;GART
