Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	activation of protein kinase activity (GO:0032147)	2/114	1.129485e-03	3.298871e-02	0	0	5.071173e+01	3.441295e+02	CD86;MT3
GO_Biological_Process_2021	positive regulation of necrotic cell death (GO:0010940)	1/5	2.248161e-03	3.298871e-02	0	0	6.245938e+02	3.808550e+03	MT3
GO_Biological_Process_2021	activation of protein kinase C activity (GO:1990051)	1/5	2.248161e-03	3.298871e-02	0	0	6.245938e+02	3.808550e+03	CD86
GO_Biological_Process_2021	positive regulation of membrane permeability (GO:1905710)	1/5	2.248161e-03	3.298871e-02	0	0	6.245938e+02	3.808550e+03	MT3
GO_Biological_Process_2021	positive regulation of T-helper 2 cell differentiation (GO:0045630)	1/6	2.697256e-03	3.298871e-02	0	0	4.996500e+02	2.955690e+03	CD86
GO_Biological_Process_2021	astrocyte development (GO:0014002)	1/6	2.697256e-03	3.298871e-02	0	0	4.996500e+02	2.955690e+03	MT3
GO_Biological_Process_2021	ethanol catabolic process (GO:0006068)	1/7	3.146172e-03	3.298871e-02	0	0	4.163542e+02	2.398853e+03	SULT1A1
GO_Biological_Process_2021	regulation of necrotic cell death (GO:0010939)	1/7	3.146172e-03	3.298871e-02	0	0	4.163542e+02	2.398853e+03	MT3
GO_Biological_Process_2021	cellular cation homeostasis (GO:0030003)	1/7	3.146172e-03	3.298871e-02	0	0	4.163542e+02	2.398853e+03	MT3
GO_Biological_Process_2021	astrocyte differentiation (GO:0048708)	1/7	3.146172e-03	3.298871e-02	0	0	4.163542e+02	2.398853e+03	MT3
GO_Biological_Process_2021	amine metabolic process (GO:0009308)	1/8	3.594909e-03	3.298871e-02	0	0	3.568571e+02	2.008476e+03	SULT1A1
GO_Biological_Process_2021	regulation of T-helper 2 cell differentiation (GO:0045628)	1/8	3.594909e-03	3.298871e-02	0	0	3.568571e+02	2.008476e+03	CD86
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	1/8	3.594909e-03	3.298871e-02	0	0	3.568571e+02	2.008476e+03	MT3
GO_Biological_Process_2021	regulation of protein glycosylation (GO:0060049)	1/8	3.594909e-03	3.298871e-02	0	0	3.568571e+02	2.008476e+03	MT3
GO_Biological_Process_2021	cellular response to leptin stimulus (GO:0044320)	1/9	4.043466e-03	3.298871e-02	0	0	3.122344e+02	1.720615e+03	MT3
GO_Biological_Process_2021	cellular response to nitric oxide (GO:0071732)	1/9	4.043466e-03	3.298871e-02	0	0	3.122344e+02	1.720615e+03	MT3
GO_Biological_Process_2021	cellular response to reactive nitrogen species (GO:1902170)	1/9	4.043466e-03	3.298871e-02	0	0	3.122344e+02	1.720615e+03	MT3
GO_Biological_Process_2021	sterol catabolic process (GO:0016127)	1/9	4.043466e-03	3.298871e-02	0	0	3.122344e+02	1.720615e+03	MT3
GO_Biological_Process_2021	CD40 signaling pathway (GO:0023035)	1/9	4.043466e-03	3.298871e-02	0	0	3.122344e+02	1.720615e+03	CD86
GO_Biological_Process_2021	cholesterol catabolic process (GO:0006707)	1/9	4.043466e-03	3.298871e-02	0	0	3.122344e+02	1.720615e+03	MT3
GO_Biological_Process_2021	removal of superoxide radicals (GO:0019430)	1/10	4.491844e-03	3.298871e-02	0	0	2.775278e+02	1.500174e+03	MT3
GO_Biological_Process_2021	regulation of glycoprotein biosynthetic process (GO:0010559)	1/10	4.491844e-03	3.298871e-02	0	0	2.775278e+02	1.500174e+03	MT3
GO_Biological_Process_2021	leptin-mediated signaling pathway (GO:0033210)	1/10	4.491844e-03	3.298871e-02	0	0	2.775278e+02	1.500174e+03	MT3
GO_Biological_Process_2021	positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949)	1/10	4.491844e-03	3.298871e-02	0	0	2.775278e+02	1.500174e+03	MT3
GO_Biological_Process_2021	primary alcohol catabolic process (GO:0034310)	1/10	4.491844e-03	3.298871e-02	0	0	2.775278e+02	1.500174e+03	SULT1A1
GO_Biological_Process_2021	alcohol catabolic process (GO:0046164)	1/11	4.940043e-03	3.298871e-02	0	0	2.497625e+02	1.326334e+03	MT3
GO_Biological_Process_2021	cellular response to superoxide (GO:0071451)	1/11	4.940043e-03	3.298871e-02	0	0	2.497625e+02	1.326334e+03	MT3
GO_Biological_Process_2021	negative regulation of oxidoreductase activity (GO:0051354)	1/12	5.388063e-03	3.298871e-02	0	0	2.270455e+02	1.185988e+03	MT3
GO_Biological_Process_2021	sodium ion export across plasma membrane (GO:0036376)	1/13	5.835903e-03	3.298871e-02	0	0	2.081146e+02	1.070484e+03	FXYD2
GO_Biological_Process_2021	response to nitric oxide (GO:0071731)	1/13	5.835903e-03	3.298871e-02	0	0	2.081146e+02	1.070484e+03	MT3
GO_Biological_Process_2021	regulation of oxidoreductase activity (GO:0051341)	1/13	5.835903e-03	3.298871e-02	0	0	2.081146e+02	1.070484e+03	MT3
GO_Biological_Process_2021	positive regulation of T-helper cell differentiation (GO:0045624)	1/14	6.283564e-03	3.298871e-02	0	0	1.920962e+02	9.738925e+02	CD86
GO_Biological_Process_2021	positive regulation of type 2 immune response (GO:0002830)	1/14	6.283564e-03	3.298871e-02	0	0	1.920962e+02	9.738925e+02	CD86
GO_Biological_Process_2021	positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	1/14	6.283564e-03	3.298871e-02	0	0	1.920962e+02	9.738925e+02	FXYD2
GO_Biological_Process_2021	positive regulation of sodium ion transmembrane transporter activity (GO:2000651)	1/14	6.283564e-03	3.298871e-02	0	0	1.920962e+02	9.738925e+02	FXYD2
GO_Biological_Process_2021	covalent chromatin modification (GO:0016569)	1/14	6.283564e-03	3.298871e-02	0	0	1.920962e+02	9.738925e+02	MT3
GO_Biological_Process_2021	sulfation (GO:0051923)	1/17	7.625474e-03	3.380950e-02	0	0	1.560547e+02	7.609634e+02	SULT1A1
GO_Biological_Process_2021	cellular response to zinc ion (GO:0071294)	1/18	8.072419e-03	3.380950e-02	0	0	1.468676e+02	7.077996e+02	MT3
GO_Biological_Process_2021	positive regulation of interleukin-4 production (GO:0032753)	1/18	8.072419e-03	3.380950e-02	0	0	1.468676e+02	7.077996e+02	CD86
GO_Biological_Process_2021	ethanol metabolic process (GO:0006067)	1/19	8.519186e-03	3.380950e-02	0	0	1.387014e+02	6.609724e+02	SULT1A1
GO_Biological_Process_2021	purine ribonucleoside bisphosphate metabolic process (GO:0034035)	1/19	8.519186e-03	3.380950e-02	0	0	1.387014e+02	6.609724e+02	SULT1A1
GO_Biological_Process_2021	cellular response to copper ion (GO:0071280)	1/19	8.519186e-03	3.380950e-02	0	0	1.387014e+02	6.609724e+02	MT3
