Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	8/89	5.578393e-04	6.120226e-01	0	0	4.685951e+00	3.510452e+01	COL5A1;COL6A1;COL20A1;CYP1B1;COL6A3;PLOD2;ATP7A;LOXL1
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	19/408	1.059998e-03	6.120226e-01	0	0	2.343496e+00	1.605175e+01	KANK1;CCL24;IFITM1;HGF;CAMK2A;FGF1;RHOD;THBS1;IGSF10;CXCL12;FAM110C;RUFY3;MGAT5;PLXNB3;ITGAX;CYP1B1;RFFL;ARSB;HBEGF
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	17/351	1.258342e-03	6.120226e-01	0	0	2.436910e+00	1.627359e+01	PLOD2;LTBP3;HOOK3;PPP1R9A;RHOD;LOXL1;COL5A1;RUFY3;TRPV4;COL6A1;FAT1;COL20A1;CYP1B1;COL6A3;CD36;ATP7A;SNCA
GO_Biological_Process_2021	positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	3/11	1.329039e-03	6.120226e-01	0	0	1.764393e+01	1.168610e+02	LBX2;PLEKHA4;MLLT3
GO_Biological_Process_2021	positive regulation of protein kinase B signaling (GO:0051897)	10/161	2.147917e-03	6.667853e-01	0	0	3.146100e+00	1.932730e+01	RASD2;P2RY12;MFHAS1;FAM110C;HGF;OSM;MST1R;FGF1;THBS1;HBEGF
GO_Biological_Process_2021	regulation of receptor signaling pathway via STAT (GO:1904892)	3/13	2.232971e-03	6.667853e-01	0	0	1.411370e+01	8.615600e+01	MGAT5;IL7R;JAK3
GO_Biological_Process_2021	cell chemotaxis (GO:0060326)	6/69	3.215771e-03	6.667853e-01	0	0	4.500865e+00	2.583356e+01	EGR3;CXCL12;HGF;PLEKHG5;PLXNB3;HBEGF
GO_Biological_Process_2021	regulation of endothelial tube morphogenesis (GO:1901509)	2/5	4.198927e-03	6.667853e-01	0	0	3.129976e+01	1.713013e+02	ITGAX;FGF1
GO_Biological_Process_2021	activation of phospholipase C activity (GO:0007202)	4/32	4.292862e-03	6.667853e-01	0	0	6.730809e+00	3.668830e+01	P2RY12;ADRA1A;ARHGAP6;RASGRP4
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	14/300	4.555032e-03	6.667853e-01	0	0	2.332125e+00	1.257370e+01	SPARC;FN1;PLOD2;THBS1;LOXL1;COL5A1;ITGAD;ADAMTSL4;COL6A1;COL20A1;ITGAX;CYP1B1;COL6A3;ATP7A
GO_Biological_Process_2021	regulation of immune effector process (GO:0002697)	5/53	4.953793e-03	6.667853e-01	0	0	4.914704e+00	2.608529e+01	C4B;C4A;IRF4;SERPING1;CFB
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	11/216	6.035015e-03	6.667853e-01	0	0	2.548254e+00	1.302203e+01	SPARC;COL5A1;ITGAD;ADAMTSL4;COL6A1;FN1;ITGAX;COL6A3;ATP7A;THBS1;LOXL1
GO_Biological_Process_2021	negative regulation of lamellipodium organization (GO:1902744)	2/6	6.211299e-03	6.667853e-01	0	0	2.347362e+01	1.192785e+02	KANK1;PLXNB3
GO_Biological_Process_2021	positive regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000096)	2/6	6.211299e-03	6.667853e-01	0	0	2.347362e+01	1.192785e+02	PLEKHA4;MLLT3
